Restaurant_Name,Food_Type,Price_Range,Average_Rating,Review_Count,Phone_Number,Address
The Fat Bear,American (Traditional)Soul FoodCajun/Creole££Blackfriars,,4.5 stars,122,
Dishoom,Indian££Covent Garden,,4.5 stars,1852,
Flat Iron,Steakhouses££Soho,,4.5 stars,381,
Padella,Italian££London Bridge,,4.5 stars,207,
Ffiona’s Restaurant,British££Kensington,,4.5 stars,265,
The Queens Arms,BritishPubsGastropubs££Victoria,,4.5 stars,120,
Abeno,Japanese££Bloomsbury,,4.5 stars,104,
The Golden Chippy,Fish & Chips££Deptford,,5 stars,110,
The Mayfair Chippy,Fish & Chips££Mayfair,,4.5 stars,282,
Restaurant Gordon Ramsay,FrenchBritish££££Chelsea,,4.5 stars,207,
The Fat Bear,American (Traditional)Soul FoodCajun/Creole££Blackfriars,,4.5 stars,122,
Flat Iron,Steakhouses££Soho,,4.5 stars,381,
Ffiona’s Restaurant,British££Kensington,,4.5 stars,265,
Padella,Italian££London Bridge,,4.5 stars,207,
Dishoom,Indian££Covent Garden,,4.5 stars,1852,
The Queens Arms,BritishPubsGastropubs££Victoria,,4.5 stars,120,
Gordon Ramsay Street Pizza,PizzaBars££The City,,4.5 stars,32,
The Golden Chippy,Fish & Chips££Deptford,,5 stars,110,
The Mayfair Chippy,Fish & Chips££Mayfair,,4.5 stars,282,
Restaurant Gordon Ramsay,FrenchBritish££££Chelsea,,4.5 stars,207,
The Fat Bear,American (Traditional)Soul FoodCajun/Creole££Blackfriars,,4.5 stars,122,
Flat Iron,Steakhouses££Soho,,4.5 stars,381,
Ffiona’s Restaurant,British££Kensington,,4.5 stars,265,
Padella,Italian££London Bridge,,4.5 stars,207,
Dishoom,Indian££Covent Garden,,4.5 stars,1852,
The Queens Arms,BritishPubsGastropubs££Victoria,,4.5 stars,120,
The Golden Chippy,Fish & Chips££Deptford,,5 stars,110,
Gordon Ramsay Street Pizza,PizzaBars££The City,,4.5 stars,32,
The Mayfair Chippy,Fish & Chips££Mayfair,,4.5 stars,282,
Restaurant Gordon Ramsay,FrenchBritish££££Chelsea,,4.5 stars,207,
The Fat Bear,American (Traditional)Soul FoodCajun/Creole££Blackfriars,,4.5 stars,122,
Dishoom,Indian££Covent Garden,,4.5 stars,1852,
Flat Iron,Steakhouses££Soho,,4.5 stars,381,
Padella,Italian££London Bridge,,4.5 stars,207,
Ffiona’s Restaurant,British££Kensington,,4.5 stars,265,
The Queens Arms,BritishPubsGastropubs££Victoria,,4.5 stars,120,
Abeno,Japanese££Bloomsbury,,4.5 stars,104,
The Golden Chippy,Fish & Chips££Deptford,,5 stars,110,
The Mayfair Chippy,Fish & Chips££Mayfair,,4.5 stars,282,
Restaurant Gordon Ramsay,FrenchBritish££££Chelsea,,4.5 stars,207,
The Fat Bear,American (Traditional)Soul FoodCajun/Creole££Blackfriars,,4.5 stars,122,
Flat Iron,Steakhouses££Soho,,4.5 stars,381,
Ffiona’s Restaurant,British££Kensington,,4.5 stars,265,
Padella,Italian££London Bridge,,4.5 stars,207,
Dishoom,Indian££Covent Garden,,4.5 stars,1852,
The Queens Arms,BritishPubsGastropubs££Victoria,,4.5 stars,120,
Gordon Ramsay Street Pizza,PizzaBars££The City,,4.5 stars,32,
The Golden Chippy,Fish & Chips££Deptford,,5 stars,110,
The Mayfair Chippy,Fish & Chips££Mayfair,,4.5 stars,282,
Restaurant Gordon Ramsay,FrenchBritish££££Chelsea,,4.5 stars,207,
The Fat Bear,American (Traditional)Soul FoodCajun/Creole££Blackfriars,,4.5 stars,122,
Dishoom,Indian££Covent Garden,,4.5 stars,1852,
Flat Iron,Steakhouses££Soho,,4.5 stars,381,
Padella,Italian££London Bridge,,4.5 stars,207,
Ffiona’s Restaurant,British££Kensington,,4.5 stars,265,
The Queens Arms,BritishPubsGastropubs££Victoria,,4.5 stars,120,
Abeno,Japanese££Bloomsbury,,4.5 stars,104,
The Golden Chippy,Fish & Chips££Deptford,,5 stars,110,
